Date,Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
22-01-2020,Canada,0,0,0,0,0,0,0,Americas
23-01-2020,Canada,0,0,0,0,0,0,0,Americas
24-01-2020,Canada,0,0,0,0,0,0,0,Americas
25-01-2020,Canada,0,0,0,0,0,0,0,Americas
26-01-2020,Canada,1,0,0,1,1,0,0,Americas
27-01-2020,Canada,1,0,0,1,0,0,0,Americas
28-01-2020,Canada,2,0,0,2,1,0,0,Americas
29-01-2020,Canada,2,0,0,2,0,0,0,Americas
30-01-2020,Canada,2,0,0,2,0,0,0,Americas
31-01-2020,Canada,4,0,0,4,2,0,0,Americas
01-02-2020,Canada,4,0,0,4,0,0,0,Americas
02-02-2020,Canada,4,0,0,4,0,0,0,Americas
03-02-2020,Canada,4,0,0,4,0,0,0,Americas
04-02-2020,Canada,4,0,0,4,0,0,0,Americas
05-02-2020,Canada,5,0,0,5,1,0,0,Americas
06-02-2020,Canada,5,0,0,5,0,0,0,Americas
07-02-2020,Canada,7,0,0,7,2,0,0,Americas
08-02-2020,Canada,7,0,0,7,0,0,0,Americas
09-02-2020,Canada,7,0,0,7,0,0,0,Americas
10-02-2020,Canada,7,0,0,7,0,0,0,Americas
11-02-2020,Canada,7,0,0,7,0,0,0,Americas
12-02-2020,Canada,7,0,0,7,0,0,0,Americas
13-02-2020,Canada,7,0,0,7,0,0,0,Americas
14-02-2020,Canada,7,0,0,7,0,0,0,Americas
15-02-2020,Canada,7,0,0,7,0,0,0,Americas
16-02-2020,Canada,7,0,0,7,0,0,0,Americas
17-02-2020,Canada,8,0,0,8,1,0,0,Americas
18-02-2020,Canada,8,0,0,8,0,0,0,Americas
19-02-2020,Canada,8,0,0,8,0,0,0,Americas
20-02-2020,Canada,8,0,0,8,0,0,0,Americas
21-02-2020,Canada,9,0,0,9,1,0,0,Americas
22-02-2020,Canada,9,0,0,9,0,0,0,Americas
23-02-2020,Canada,9,0,0,9,0,0,0,Americas
24-02-2020,Canada,10,0,0,10,1,0,0,Americas
25-02-2020,Canada,11,0,0,11,1,0,0,Americas
26-02-2020,Canada,11,0,0,11,0,0,0,Americas
27-02-2020,Canada,13,0,0,13,2,0,0,Americas
28-02-2020,Canada,14,0,0,14,1,0,0,Americas
29-02-2020,Canada,20,0,0,20,6,0,0,Americas
01-03-2020,Canada,24,0,0,24,4,0,0,Americas
02-03-2020,Canada,27,0,0,27,3,0,0,Americas
03-03-2020,Canada,30,0,0,30,3,0,0,Americas
04-03-2020,Canada,33,0,0,33,3,0,0,Americas
05-03-2020,Canada,37,0,0,37,4,0,0,Americas
06-03-2020,Canada,49,0,0,49,12,0,0,Americas
07-03-2020,Canada,54,0,0,54,5,0,0,Americas
08-03-2020,Canada,64,0,0,64,10,0,0,Americas
09-03-2020,Canada,77,1,0,76,13,1,0,Americas
10-03-2020,Canada,79,1,0,78,2,0,0,Americas
11-03-2020,Canada,108,1,0,107,29,0,0,Americas
12-03-2020,Canada,117,1,0,116,9,0,0,Americas
13-03-2020,Canada,191,1,0,190,74,0,0,Americas
14-03-2020,Canada,196,1,0,195,5,0,0,Americas
15-03-2020,Canada,250,1,0,249,54,0,0,Americas
16-03-2020,Canada,413,4,0,409,163,3,0,Americas
17-03-2020,Canada,470,5,0,465,57,1,0,Americas
18-03-2020,Canada,648,8,0,640,178,3,0,Americas
19-03-2020,Canada,791,9,0,782,143,1,0,Americas
20-03-2020,Canada,933,12,0,921,142,3,0,Americas
21-03-2020,Canada,1267,19,0,1248,334,7,0,Americas
22-03-2020,Canada,1456,20,0,1436,189,1,0,Americas
23-03-2020,Canada,2075,24,0,2051,619,4,0,Americas
24-03-2020,Canada,2777,25,0,2752,702,1,0,Americas
25-03-2020,Canada,3238,29,0,3209,461,4,0,Americas
26-03-2020,Canada,4029,37,0,3992,791,8,0,Americas
27-03-2020,Canada,4669,53,0,4616,640,16,0,Americas
28-03-2020,Canada,5563,60,0,5503,894,7,0,Americas
29-03-2020,Canada,6267,63,0,6204,704,3,0,Americas
30-03-2020,Canada,7385,79,0,7306,1118,16,0,Americas
31-03-2020,Canada,8514,100,0,8414,1129,21,0,Americas
01-04-2020,Canada,9547,108,0,9439,1033,8,0,Americas
02-04-2020,Canada,11271,138,0,11133,1724,30,0,Americas
03-04-2020,Canada,12424,178,0,12246,1153,40,0,Americas
04-04-2020,Canada,12965,217,0,12748,541,39,0,Americas
05-04-2020,Canada,15743,258,0,15485,2778,41,0,Americas
06-04-2020,Canada,16550,338,0,16212,807,80,0,Americas
07-04-2020,Canada,17859,374,0,17485,1309,36,0,Americas
08-04-2020,Canada,19128,406,0,18722,1269,32,0,Americas
